timestamp,model,num_weeks,basic_profit,llm_profit,graph_path
20251224_184403,xiaomi/mimo-v2-flash:free,2,22.45,22.30,profit_comparison_xiaomi_mimo-v2-flash_free_20251224_184403.png
20251224_184423,xiaomi/mimo-v2-flash:free,52,1369.40,1150.49,profit_comparison_xiaomi_mimo-v2-flash_free_20251224_184423.png
20251224_184423,xiaomi/mimo-v2-flash:free,2,12.40,14.39,profit_comparison_xiaomi_mimo-v2-flash_free_20251224_184423.png
20251224_184439,xiaomi/mimo-v2-flash:free,2,-5.45,-19.80,profit_comparison_xiaomi_mimo-v2-flash_free_20251224_184439.png
20251224_184455,xiaomi/mimo-v2-flash:free,2,23.80,-15.70,profit_comparison_xiaomi_mimo-v2-flash_free_20251224_184455.png
20251224_184509,nvidia/nemotron-3-nano-30b-a3b:free,2,21.05,22.00,profit_comparison_nvidia_nemotron-3-nano-30b-a3b_free_20251224_184509.png
20251224_184531,nvidia/nemotron-3-nano-30b-a3b:free,2,-30.05,43.40,profit_comparison_nvidia_nemotron-3-nano-30b-a3b_free_20251224_184531.png
20251224_192143,xiaomi/mimo-v2-flash:free,52,1387.00,1061.01,profit_comparison_xiaomi_mimo-v2-flash_free_20251224_192143.png
20251224_194042,xiaomi/mimo-v2-flash:free,30,837.10,824.67,profit_comparison_xiaomi_mimo-v2-flash_free_20251224_194042.png
20251224_194440,nvidia/nemotron-3-nano-30b-a3b:free,30,782.35,543.80,profit_comparison_nvidia_nemotron-3-nano-30b-a3b_free_20251224_194440.png
20251224_195631,mistralai/devstral-2512:free,30,742.10,681.88,profit_comparison_mistralai_devstral-2512_free_20251224_195631.png
20251224_200230,xiaomi/mimo-v2-flash:free,52,1395.70,1226.93,profit_comparison_xiaomi_mimo-v2-flash_free_20251224_200230.png
20251224_200830,nex-agi/deepseek-v3.1-nex-n1:free,30,780.85,832.96,profit_comparison_nex-agi_deepseek-v3.1-nex-n1_free_20251224_200830.png
20251224_214217,xiaomi/mimo-v2-flash:free,3,17.45,49.40,profit_comparison_xiaomi_mimo-v2-flash_free_20251224_214217.png
20251224_214354,xiaomi/mimo-v2-flash:free,5,65.25,117.90,profit_comparison_xiaomi_mimo-v2-flash_free_20251224_214354.png
20251224_215440,xiaomi/mimo-v2-flash:free,30,817.50,1135.25,profit_comparison_xiaomi_mimo-v2-flash_free_20251224_215440.png
20251224_215905,nvidia/nemotron-3-nano-30b-a3b:free,30,812.55,1632.65,profit_comparison_nvidia_nemotron-3-nano-30b-a3b_free_20251224_215905.png
20251224_220354,mistralai/devstral-2512:free,30,929.65,2907.05,profit_comparison_mistralai_devstral-2512_free_20251224_220354.png
20251224_221402,nex-agi/deepseek-v3.1-nex-n1:free,30,836.00,1134.33,profit_comparison_nex-agi_deepseek-v3.1-nex-n1_free_20251224_221402.png
20251224_222521,xiaomi/mimo-v2-flash:free,52,1375.50,1480.43,profit_comparison_xiaomi_mimo-v2-flash_free_20251224_222521.png
20251224_224103,xiaomi/mimo-v2-flash:free,52,1391.60,1637.68,profit_comparison_xiaomi_mimo-v2-flash_free_20251224_224103.png
20251224_224857,xiaomi/mimo-v2-flash:free,52,1379.95,1825.78,profit_comparison_xiaomi_mimo-v2-flash_free_20251224_224857.png
20251224_225601,xiaomi/mimo-v2-flash:free,52,1331.85,1700.25,profit_comparison_xiaomi_mimo-v2-flash_free_20251224_225601.png
20251224_230508,xiaomi/mimo-v2-flash:free,52,1464.80,1448.92,profit_comparison_xiaomi_mimo-v2-flash_free_20251224_230508.png
20251224_231145,nvidia/nemotron-3-nano-30b-a3b:free,52,1414.95,3883.05,profit_comparison_nvidia_nemotron-3-nano-30b-a3b_free_20251224_231145.png
20251224_231755,nvidia/nemotron-3-nano-30b-a3b:free,52,1398.70,3969.15,profit_comparison_nvidia_nemotron-3-nano-30b-a3b_free_20251224_231755.png
20251224_232520,nvidia/nemotron-3-nano-30b-a3b:free,52,1501.15,5059.25,profit_comparison_nvidia_nemotron-3-nano-30b-a3b_free_20251224_232520.png
20251224_233313,nvidia/nemotron-3-nano-30b-a3b:free,52,1495.40,4595.55,profit_comparison_nvidia_nemotron-3-nano-30b-a3b_free_20251224_233313.png
20251224_234155,nvidia/nemotron-3-nano-30b-a3b:free,52,1518.90,4449.90,profit_comparison_nvidia_nemotron-3-nano-30b-a3b_free_20251224_234155.png
20251224_234950,mistralai/devstral-2512:free,52,1387.40,4590.95,profit_comparison_mistralai_devstral-2512_free_20251224_234950.png
20251224_235740,mistralai/devstral-2512:free,52,1722.50,7379.18,profit_comparison_mistralai_devstral-2512_free_20251224_235740.png
20251225_000519,mistralai/devstral-2512:free,52,1497.10,4847.19,profit_comparison_mistralai_devstral-2512_free_20251225_000519.png
20251225_001400,mistralai/devstral-2512:free,52,1503.70,5414.30,profit_comparison_mistralai_devstral-2512_free_20251225_001400.png
20251225_002214,mistralai/devstral-2512:free,52,1670.90,7662.25,profit_comparison_mistralai_devstral-2512_free_20251225_002214.png
20251225_004211,nex-agi/deepseek-v3.1-nex-n1:free,52,1482.20,1820.49,profit_comparison_nex-agi_deepseek-v3.1-nex-n1_free_20251225_004211.png
20251225_010139,nex-agi/deepseek-v3.1-nex-n1:free,52,1450.65,2386.54,profit_comparison_nex-agi_deepseek-v3.1-nex-n1_free_20251225_010139.png
20251225_012147,nex-agi/deepseek-v3.1-nex-n1:free,52,1359.40,3144.30,profit_comparison_nex-agi_deepseek-v3.1-nex-n1_free_20251225_012147.png
20251225_014036,nex-agi/deepseek-v3.1-nex-n1:free,52,1484.65,2047.22,profit_comparison_nex-agi_deepseek-v3.1-nex-n1_free_20251225_014036.png
20251225_020205,nex-agi/deepseek-v3.1-nex-n1:free,52,1445.20,1493.41,profit_comparison_nex-agi_deepseek-v3.1-nex-n1_free_20251225_020205.png
